iteration,heuristic_cost,test_case
0,14,1
1,10,1
2,7,1
3,5,1
4,3,1
5,2,1
6,2,1
7,1,1
8,1,1
9,0,1
0,2,2
1,0,2
0,0,3
0,28,4
1,21,4
2,15,4
3,10,4
4,6,4
5,4,4
6,3,4
7,3,4
8,3,4
9,3,4
10,2,4
11,2,4
12,1,4
0,1,5
1,1,5
2,1,5
3,1,5
4,0,5
0,28,6
1,22,6
2,16,6
3,11,6
4,7,6
5,4,6
6,2,6
7,1,6
8,1,6
9,1,6
10,1,6
11,1,6
12,1,6
13,1,6
14,1,6
15,1,6
16,1,6
17,1,6
18,1,6
19,1,6
20,1,6
21,1,6
22,1,6
23,1,6
24,1,6
25,1,6
26,1,6
27,1,6
28,1,6
29,1,6
30,1,6
31,1,6
32,1,6
33,1,6
34,1,6
35,1,6
36,1,6
37,1,6
38,1,6
39,1,6
40,1,6
41,1,6
42,1,6
43,1,6
44,1,6
45,1,6
46,1,6
47,1,6
48,1,6
49,1,6
50,1,6
51,1,6
52,1,6
53,1,6
54,1,6
55,1,6
56,1,6
57,1,6
58,1,6
59,1,6
60,1,6
61,1,6
62,1,6
63,1,6
64,0,6
0,28,7
1,21,7
2,15,7
3,10,7
4,6,7
5,3,7
6,1,7
7,1,7
8,1,7
9,1,7
10,1,7
11,1,7
12,1,7
13,1,7
14,1,7
15,1,7
16,1,7
17,1,7
18,1,7
19,1,7
20,1,7
21,1,7
22,1,7
23,1,7
24,1,7
25,1,7
26,1,7
27,1,7
28,1,7
29,0,7
0,5,8
1,4,8
2,2,8
3,1,8
4,1,8
5,1,8
6,1,8
7,1,8
8,1,8
9,1,8
10,1,8
11,1,8
12,1,8
13,1,8
14,1,8
15,1,8
16,1,8
17,1,8
18,1,8
19,1,8
20,1,8
21,1,8
22,1,8
23,1,8
24,1,8
25,1,8
26,1,8
27,1,8
28,1,8
29,1,8
30,1,8
31,1,8
32,1,8
33,1,8
34,1,8
35,1,8
36,1,8
37,1,8
38,1,8
39,1,8
40,1,8
41,1,8
42,1,8
43,1,8
44,1,8
45,1,8
46,1,8
47,1,8
48,1,8
49,1,8
50,1,8
51,1,8
52,1,8
53,1,8
54,1,8
55,1,8
56,1,8
57,1,8
58,1,8
59,1,8
60,1,8
61,1,8
62,1,8
63,1,8
64,1,8
65,1,8
66,1,8
67,1,8
68,1,8
69,1,8
70,1,8
71,1,8
72,1,8
73,1,8
74,1,8
75,1,8
76,1,8
77,0,8
0,1,9
1,1,9
2,1,9
3,1,9
4,1,9
5,1,9
6,1,9
7,1,9
8,1,9
9,1,9
10,1,9
11,1,9
12,1,9
13,1,9
14,1,9
15,1,9
16,1,9
17,1,9
18,1,9
19,1,9
20,1,9
21,1,9
22,1,9
23,1,9
24,1,9
25,1,9
26,1,9
27,1,9
28,1,9
29,1,9
30,1,9
31,1,9
32,1,9
33,1,9
34,1,9
35,0,9
0,2,10
1,1,10
2,0,10
